CUST_NAME,AGE,GENDER,RACE,STATE,MONTHLY_INCOME,ONLINE_CUST
Cust1,73,[1]Female,[2]Chinese,SELANGOR,4780,0
Cust2,21,[2]Male,[1]Bumiputra,SELANGOR,2330,0
Cust3,77,[1]Female,[1]Bumiputra,SELANGOR,8170,0
Cust4,77,[2]Male,[1]Bumiputra,KUALA LUMPUR,6000,0
Cust5,76,[2]Male,[2]Chinese,KEDAH,5000,0
Cust6,75,[2]Male,[2]Chinese,PULAU PINANG,10000,0
Cust7,75,[2]Male,[2]Chinese,SELANGOR,16670,0
Cust8,74,[2]Male,[1]Bumiputra,KUALA LUMPUR,8920,0
Cust9,74,[2]Male,[3]Indian,KUALA LUMPUR,7500,0
Cust10,74,[1]Female,[2]Chinese,SELANGOR,9860,0
Cust11,74,[2]Male,[2]Chinese,KUALA LUMPUR,5880,0
Cust12,73,[2]Male,[2]Chinese,KUALA LUMPUR,9400,0
Cust13,73,[2]Male,[2]Chinese,KUALA LUMPUR,12500,0
Cust14,73,[2]Male,[3]Indian,PERAK,8000,0
Cust15,73,[2]Male,[1]Bumiputra,SELANGOR,6930,0
Cust16,71,[1]Female,[2]Chinese,KUALA LUMPUR,3160,0
Cust17,70,[2]Male,[2]Chinese,KEDAH,2000,0
Cust18,69,[2]Male,[1]Bumiputra,KEDAH,6920,0
Cust19,69,[2]Male,[2]Chinese,PULAU PINANG,2000,0
Cust20,69,[1]Female,[1]Bumiputra,KEDAH,4130,0
Cust21,69,[2]Male,[2]Chinese,JOHOR,5830,0
Cust22,69,[2]Male,[2]Chinese,SELANGOR,8330,0
Cust23,69,[1]Female,[1]Bumiputra,PERAK,4240,0
Cust24,68,[1]Female,[2]Chinese,KUALA LUMPUR,4080,0
Cust25,68,[2]Male,[2]Chinese,SELANGOR,4080,0
Cust26,68,[2]Male,[2]Chinese,PERAK,5730,0
Cust27,68,[2]Male,[2]Chinese,KUALA LUMPUR,5000,0
Cust28,68,[2]Male,[2]Chinese,PULAU PINANG,8330,0
Cust29,68,[2]Male,[2]Chinese,SELANGOR,5650,0
Cust30,67,[2]Male,[2]Chinese,SELANGOR,13980,0
Cust31,67,[2]Male,[2]Chinese,NEGERI SEMBILAN,6670,0
Cust32,67,[2]Male,[4]Others,PULAU PINANG,11420,0
Cust33,67,[2]Male,[2]Chinese,NEGERI SEMBILAN,1980,0
Cust34,67,[2]Male,[1]Bumiputra,SELANGOR,8330,0
Cust35,67,[2]Male,[2]Chinese,PULAU PINANG,2500,0
Cust36,66,[2]Male,[2]Chinese,PERAK,3330,0
Cust37,66,[2]Male,[2]Chinese,PAHANG,6790,0
Cust38,66,[1]Female,[2]Chinese,JOHOR,10000,0
Cust39,65,[2]Male,[1]Bumiputra,KUALA LUMPUR,6670,0
